FT8DMC
FT8 Digital Mode Club
K1JT;00000
00519;DK7LE 
00521;SV1DZB 
00524;EI2CTB 
00524;EI3CTB 
00527;EA5SL 
00527;EA7SL 
00530;AD9H 
00535;JQ1UGE 
00551;TA2EJ
0556;SV2CLJ 
00558;IZ1WIX 
00562;EA8LG 
00571;G8SGB 
00577;SV9RGI 
00582;JR1NHD 
00587;JM1VWQ 
00594;YO6FPW 
00595;K6SJT 
00607;UR2VA 
00608;PD3RFR 
00613;OP4A 
00620;SV1GYG 
00621;CO2YQ 
00623;SV9AHZ 
00627;IK7BEF 
00632;G6PCU 
00636;DK9ZZ 
00638;ON6NL 
00643;CO2DSE 
00647;DL8UVG 
00659;EB4GRT 
00665;EA1FU 
00670;EA3NJ 
00671;N5FPW 
00675;IU0IJV 
00678;OZ1RE 
00679;UR4QX 
00686;MM3LSO 
00692;M0MGP 
00695;F1ULQ 
00700;S55G 
00701;DU2UXH 
00703;VK3XN 
00705;VA3AQB 
00706;ZS6C 
00708;DK8VR 
00725;ZB3M 
00725;ZB2MR 
00729;SN6P 
00732;N5SLY 
00738;CE2EC 
00739;DH0GME 
00741;KC1GNH 
00757;IW3FVQ 
00765;UY7VV 
00766;DL8ZBA 
00768;K2AK 
YF0TUR;00800
YE0TUR;00800
OH6GAZ;00807
SV2AJX;00810
YC1BBW;00812
GI7ULG;00823
YO4CVV;00829
UW4QQ;00831
5P1W;00843
DK5AI;00844
DH5MM;00856
OK2ZDL;00858
W7OTL;00862
PB7Z;00864
VA3SB;00870
I8JBB;00873
IZ0MIO;00883
RO3D;00888
9A3ETW;00889
F8AEJ;00890
IE8DKM;00897
IK8DKM;00897
IW8DKM;00897
IK8YFU;00900
IU4ALH;00904
UT5LA;00910
SP5NON;00915
IZ8XJJ;00937
M6JNA;00940
KG4EUI;00954
EA4BAS;00956
KE4VJF;00957
IK7XNF;00960
3D2TS;00965
ZS4JAN;0968
IK7WDS;00970
F5CUN;00977
WA5CAM;00981
OH4SS;00982
PY5EJ;00985
PT7DF;00996
PT2DF;00996
IK8IOO;01032
CE1LEW;01035
DH1OK;01045
KE6KJD;01048
WA3WZR;01072
EB5JRL;01084
EA5LZ;01084
YC0RXA;01085
F4PCM;01087
DJ2PW;01092
SV2LZX;01098
OE3UKW;01100
SP5XSL;01101
7Z1AL;01106
CX4CAW;01110
OK1PX;01112
M0ZLI;01133
LW1DRJ;01135
KB8APA;01137
DL1THB;01138
F4ESO;01141
PY3OG;01145
WB9IIV;01149
SP1IT;01150
ON8CL;01159
IK5SRE;01160
DJ6SX;01179
DH2LAB;01182
VK2BYI;01188
F4BKT;01190
SP6LH;01204
SP6LHI;01204
K2AMF;01212
EA8VJ;01215
F6EAZ;01221
W3ZR;01223
W7AMC;01224
AD7J;01224
K4WLG;01226
PY2DPM;01229
N9YBK;01241
CT2GRF;01244
W4DOW;01258
DG2YCB;01262
SV1CNS;01277
W1LQJ;01279

        
